customer_id,first_name,last_name,gender,age,city,country,signup_date,employment_status,annual_income,credit_score,risk_level
C001,Sara,Khan,Female,35,Jeddah,Saudi Arabia,2024-03-12,Student,66868,846,High
C002,Maryam,Iqbal,Female,22,Riyadh,Saudi Arabia,2024-02-17,Salaried,100990,758,High
C003,Ali,Qureshi,Male,54,Khobar,Saudi Arabia,2024-04-22,Self-Employed,112926,503,Low
C004,Ahmed,Malik,Female,29,Jeddah,Saudi Arabia,2025-05-05,Self-Employed,66793,547,Medium
C005,Sara,Malik,Female,58,Dammam,Saudi Arabia,2025-02-17,Salaried,,774,Low
C006,Ahmed,Iqbal,Female,60,Mecca,Saudi Arabia,2025-03-29,Self-Employed,90407,535,Low
C007,Aisha,Shaikh,Male,34,Riyadh,Saudi Arabia,2024-07-13,Self-Employed,158858,825,Medium
C008,Omar,Malik,Female,33,Dammam,Saudi Arabia,2024-12-25,Student,58717,811,High
C009,Omar,Qureshi,Male,30,Khobar,Saudi Arabia,2024-07-13,Self-Employed,97570,850,Medium
C010,Ali,Ansari,Male,40,Khobar,Saudi Arabia,2024-05-17,Salaried,95307,790,High
C011,Fatima,Ansari,Female,45,Khobar,Saudi Arabia,2024-03-14,Self-Employed,76603,,High
C012,Maryam,Qureshi,Female,57,Khobar,Saudi Arabia,2025-04-04,Student,144700,685,Low
C013,Omar,Qureshi,Female,25,Riyadh,Saudi Arabia,2025-03-16,Salaried,80066,821,Low
C014,Ahmed,Syed,Male,44,Khobar,Saudi Arabia,2024-11-01,Self-Employed,178704,628,High
C015,Ali,Iqbal,Female,41,Riyadh,Saudi Arabia,2024-05-30,Self-Employed,81460,732,Low
C016,Noor,Qureshi,Male,52,Riyadh,Saudi Arabia,2025-03-21,Unknown,118235,827,High
C017,Zaid,Ansari,Male,43,Jeddah,Saudi Arabia,2024-10-03,Student,40149,806,Medium
C018,Lina,Khan,Male,43,Dammam,Saudi Arabia,2024-05-02,Salaried,103143,790,Low
C019,Sara,Farooq,Male,54,Jeddah,Saudi Arabia,2024-03-06,Student,164592,781,Low
C020,Noor,Qureshi,Female,33,Mecca,Saudi Arabia,2025-01-21,Student,92730,659,Medium
C021,Fatima,Farooq, male ,27,Jeddah,Saudi Arabia,2024-04-25,Salaried,128627,510,High
C022,Maryam,Ansari,MALE,20,Riyadh,Saudi Arabia,2024-12-28,Student,55433,617,Low
C023,Ali,Malik,F,52,Jeddah,Saudi Arabia,2024-05-22,Student,167248,609,High
C024,Omar,Syed,Female,-5,Khobar,Saudi Arabia,2025-02-17,Self-Employed,89914,548,Low
C025,Ahmed,Malik,Female,150,Khobar,Saudi Arabia,2025-03-18,Student,54200,844,High
C026,Sara,Khan,Female,41,Riyadh,Saudi Arabia,2024-05-07,Salaried,-45000,774,Medium
C027,Omar,Hussain,Male,37,Khobar,Saudi Arabia,2024-05-07,Salaried,156164,950,Low
C028,Ali,Qureshi,Male,25,Jeddah,Saudi Arabia,2024-03-26,Self-Employed,167307,150,Low
C029,Ahmed,Khan,Male,44,Riyadh, Saudi Arabia ,2024-07-18,Self-Employed,159277,646,Medium
C030,Maryam,Farooq,Male,0,Dammam,Saudi Arabia,2024-04-21,Salaried,55979,660,Low
C031,,Syed,Female,52,Mecca,Saudi Arabia,2024-03-21,Salaried,173124,541,Low
C032,Sara,Syed,Male,35,Khobar,Saudi Arabia,15/03/2025,Student,104543,796,High
C033,Ali,Syed,Male,46,Mecca,Saudi Arabia,Mar-18-2025,Student,122934,633,Low
C034,Fatima,Ansari,Female,45,Jeddah,Saudi Arabia,2025/04/20,Student,118642,734,Medium
C035,Sara,Khan,Female,59, riyadh ,Saudi Arabia,2024-02-21,Salaried,95877,759,Medium
C036,Omar,Malik,Male,35,RIYADH,Saudi Arabia,2024-05-25,Salaried,154867,778,High
C037,Noor,Syed,Male,55,Dammam,Saudi Arabia,2025-04-22,N/A,67154,568,Medium
C038,Sara,Iqbal,Male,37,Dammam,Saudi Arabia,2024-11-05,-,129884,604,High
C039,Noor,Qureshi,Female,36,Riyadh,Saudi Arabia,2024-02-17,Student,"85,000",641,Low
C040,Ali,Malik,Male,60,Dammam,Saudi Arabia,2024-03-23,Student,155824,782,High
C041,Ahmed,Qureshi,Male,27,Riyadh,Saudi Arabia,2025-04-28,Student,79073,779,Low
C042,Fatima,Syed,Male,47,Jeddah,Saudi Arabia,2024-01-22,Self-Employed,135591,520,Medium
C043,Aisha,Ansari,Male,42,Mecca,Saudi Arabia,2025-03-28,Self-Employed,80515,621,Low
C044,Omar,Hussain,Male,31,Dammam,Saudi Arabia,2025-02-04,Self-Employed,105055,636,Low
C045,Sara,Hussain,Male,50,Jeddah,Saudi Arabia,2024-04-12,Self-Employed,131660,656,Low
