customer_id,first_name,last_name,gender,age,city,country,signup_date,employment_status,annual_income,credit_score,risk_level,signup_year,signup_month,signup_day,signup_weekday,signup_quarter,customer_tenure_days,monthly_income,high_value_customer,annual_income_k,risk_score,age_group,income_band,credit_score_category,risk_segment
C001,Sara,Khan,Female,35,Jeddah,Saudi Arabia,2024-03-12,Student,66868.0,846.0,High,2024,March,12,Tuesday,1,854,5572.333333333333,No,66.9,3,Adult,Medium,Excellent,High Risk
C002,Maryam,Iqbal,Female,22,Riyadh,Saudi Arabia,2024-02-17,Salaried,100990.0,758.0,High,2024,February,17,Saturday,1,878,8415.833333333334,Yes,101.0,3,Young Adult,High,Excellent,High Risk
C003,Ali,Qureshi,Male,54,Khobar,Saudi Arabia,2024-04-22,Self-Employed,112926.0,503.0,Low,2024,April,22,Monday,2,813,9410.5,No,112.9,1,Middle Aged,High,Poor,Safe
C004,Ahmed,Malik,Female,29,Jeddah,Saudi Arabia,2025-05-05,Self-Employed,66793.0,547.0,Medium,2025,May,5,Monday,2,435,5566.083333333333,No,66.8,2,Adult,Medium,Poor,Monitor
C005,Sara,Malik,Female,58,Dammam,Saudi Arabia,2025-02-17,Salaried,102066.5,774.0,Low,2025,February,17,Monday,1,512,8505.541666666666,Yes,102.1,1,Middle Aged,High,Excellent,Safe
C006,Ahmed,Iqbal,Female,60,Mecca,Saudi Arabia,2025-03-29,Self-Employed,90407.0,535.0,Low,2025,March,29,Saturday,1,472,7533.916666666667,No,90.4,1,Senior,Medium,Poor,Safe
C007,Aisha,Shaikh,Male,34,Riyadh,Saudi Arabia,2024-07-13,Self-Employed,158858.0,825.0,Medium,2024,July,13,Saturday,3,731,13238.166666666666,Yes,158.9,2,Adult,High,Excellent,Monitor
C008,Omar,Malik,Female,33,Dammam,Saudi Arabia,2024-12-25,Student,58717.0,811.0,High,2024,December,25,Wednesday,4,566,4893.083333333333,No,58.7,3,Adult,Medium,Excellent,High Risk
C009,Omar,Qureshi,Male,30,Khobar,Saudi Arabia,2024-07-13,Self-Employed,97570.0,850.0,Medium,2024,July,13,Saturday,3,731,8130.833333333333,No,97.6,2,Adult,Medium,Excellent,Monitor
C010,Ali,Ansari,Male,40,Khobar,Saudi Arabia,2024-05-17,Salaried,95307.0,790.0,High,2024,May,17,Friday,2,788,7942.25,No,95.3,3,Middle Aged,Medium,Excellent,High Risk
C011,Fatima,Ansari,Female,45,Khobar,Saudi Arabia,2024-03-14,Self-Employed,76603.0,686.0,High,2024,March,14,Thursday,1,852,6383.583333333333,No,76.6,3,Middle Aged,Medium,Good,High Risk
C012,Maryam,Qureshi,Female,57,Khobar,Saudi Arabia,2025-04-04,Student,144700.0,685.0,Low,2025,April,4,Friday,2,466,12058.333333333334,No,144.7,1,Middle Aged,High,Good,Safe
C013,Omar,Qureshi,Female,25,Riyadh,Saudi Arabia,2025-03-16,Salaried,80066.0,821.0,Low,2025,March,16,Sunday,1,485,6672.166666666667,No,80.1,1,Adult,Medium,Excellent,Safe
C014,Ahmed,Syed,Male,44,Khobar,Saudi Arabia,2024-11-01,Self-Employed,178704.0,628.0,High,2024,November,1,Friday,4,620,14892.0,No,178.7,3,Middle Aged,High,Fair,High Risk
C015,Ali,Iqbal,Female,41,Riyadh,Saudi Arabia,2024-05-30,Self-Employed,81460.0,732.0,Low,2024,May,30,Thursday,2,775,6788.333333333333,No,81.5,1,Middle Aged,Medium,Good,Safe
C016,Noor,Qureshi,Male,52,Riyadh,Saudi Arabia,2025-03-21,Unknown,118235.0,827.0,High,2025,March,21,Friday,1,480,9852.916666666666,Yes,118.2,3,Middle Aged,High,Excellent,High Risk
C017,Zaid,Ansari,Male,43,Jeddah,Saudi Arabia,2024-10-03,Student,40149.0,806.0,Medium,2024,October,3,Thursday,4,649,3345.75,No,40.1,2,Middle Aged,Low,Excellent,Monitor
C018,Lina,Khan,Male,43,Dammam,Saudi Arabia,2024-05-02,Salaried,103143.0,790.0,Low,2024,May,2,Thursday,2,803,8595.25,Yes,103.1,1,Middle Aged,High,Excellent,Safe
C019,Sara,Farooq,Male,54,Jeddah,Saudi Arabia,2024-03-06,Student,164592.0,781.0,Low,2024,March,6,Wednesday,1,860,13716.0,Yes,164.6,1,Middle Aged,High,Excellent,Safe
C020,Noor,Qureshi,Female,33,Mecca,Saudi Arabia,2025-01-21,Student,92730.0,659.0,Medium,2025,January,21,Tuesday,1,539,7727.5,No,92.7,2,Adult,Medium,Good,Monitor
C021,Fatima,Farooq,Male,27,Jeddah,Saudi Arabia,2024-04-25,Salaried,128627.0,510.0,High,2024,April,25,Thursday,2,810,10718.916666666666,No,128.6,3,Adult,High,Poor,High Risk
C022,Maryam,Ansari,Male,20,Riyadh,Saudi Arabia,2024-12-28,Student,55433.0,617.0,Low,2024,December,28,Saturday,4,563,4619.416666666667,No,55.4,1,Young Adult,Medium,Fair,Safe
C023,Ali,Malik,Female,52,Jeddah,Saudi Arabia,2024-05-22,Student,167248.0,609.0,High,2024,May,22,Wednesday,2,783,13937.333333333334,No,167.2,3,Middle Aged,High,Fair,High Risk
